method,dataset,point_group,sigma,n_total,n_crashed,n_valid,crash_rate,mean_emd,median_emd,mean_theta_deg,median_theta_deg,flip_rate,n_molecules
asun,synthetic,Ih,0.1,15.0,0.0,15.0,0.0,0.21246893637961428,0.18784302954877563,8.314182656417353,6.396125170927246,0.8666666666666667,1
asun,synthetic,Oh,0.0,30.0,15.0,15.0,0.5,3.795048862613358e-16,3.461124860740544e-16,8.04945513150489e-08,0.0,0.0,2
asun,synthetic,Oh,0.0001,30.0,15.0,15.0,0.5,0.00018198927956221544,0.0001788947918767214,0.007062734077470195,0.006684009633205359,0.0,2
asun,synthetic,Oh,0.001,30.0,15.0,15.0,0.5,0.0018198561822218532,0.0017890858768444162,0.07062487420283746,0.06682093956116784,0.0,2
asun,synthetic,Oh,0.003,30.0,15.0,15.0,0.5,0.1260838635901129,0.005869854795794705,0.21012721424113676,0.1839958177843975,0.0,2
asun,synthetic,Oh,0.01,30.0,15.0,15.0,0.5,0.26733192801596134,0.028003655364322977,1.431584608238612,0.49350444861293996,0.06666666666666667,2
asun,synthetic,Oh,0.03,30.0,15.0,15.0,0.5,0.2884561288173827,0.06011606892747315,2.3612385651363166,1.832991538460549,0.06666666666666667,2
asun,synthetic,Oh,0.1,30.0,15.0,15.0,0.5,0.4325464946664123,0.6188781946330877,5.800819232625681,5.193514302519107,0.6,2
asun,synthetic,Td,0.0,30.0,0.0,30.0,0.0,2.7238669577118897e-16,2.6857876828042127e-16,8.04945513150489e-08,0.0,0.0,2
asun,synthetic,Td,0.0001,30.0,0.0,30.0,0.0,0.00013354856699138395,0.0001303682690201286,0.0063606324215868286,0.005737257646333328,0.0,2
asun,synthetic,Td,0.001,30.0,0.0,30.0,0.0,0.0013137170422043583,0.0013031872579621793,0.060572786282911587,0.0551810596018548,0.0,2
asun,synthetic,Td,0.003,30.0,0.0,30.0,0.0,0.02214788084638958,0.0038162374667050874,1.736904736125664,0.17025199442161326,0.03333333333333333,2
asun,synthetic,Td,0.01,30.0,0.0,30.0,0.0,0.15646350620791752,0.013764828527095794,12.940722486206974,0.6543423875336782,0.3,2
asun,synthetic,Td,0.03,30.0,0.0,30.0,0.0,0.2581220512205281,0.05950636246461864,21.117888897027807,3.485171314751106,0.4666666666666667,2
asun,synthetic,Td,0.1,30.0,0.0,30.0,0.0,0.3350962632982963,0.27072672208738136,24.96028777456361,18.734194776167364,0.9,2
ours,qm-sym,C2h,0.0,120.0,0.0,120.0,0.0,3.5583293094653816e-15,2.6969631720790127e-15,4.880558934591529e-07,0.0,0.0,8
ours,qm-sym,C2h,0.0001,120.0,0.0,120.0,0.0,0.00016019171015659543,0.0001589141132709585,0.0014651636495489895,0.001255598737916854,0.0,8
ours,qm-sym,C2h,0.001,120.0,0.0,120.0,0.0,0.0016019254277091406,0.0015892286025661674,0.014652600572022162,0.012569220399976013,0.0,8
ours,qm-sym,C2h,0.003,120.0,0.0,120.0,0.0,0.004805832919735628,0.004768271290855912,0.04396426558277319,0.03779597287768251,0.0,8
ours,qm-sym,C2h,0.01,120.0,0.0,120.0,0.0,0.016020144851661557,0.01590115403995062,0.14662487457347229,0.12772812149955792,0.0,8
ours,qm-sym,C2h,0.03,120.0,0.0,120.0,0.0,0.07421725844824198,0.04780798115598796,0.4633631315869655,0.3849884913265299,0.0,8
ours,qm-sym,C2h,0.1,120.0,0.0,120.0,0.0,0.25563252265244435,0.1600125050476119,2.3754304111856923,1.3206409161880142,0.041666666666666664,8
ours,qm-sym,C3h,0.0,75.0,0.0,75.0,0.0,2.235784410285794e-15,1.759702569904896e-15,3.9418634760841153e-07,0.0,0.0,5
ours,qm-sym,C3h,0.0001,75.0,0.0,75.0,0.0,4.454884759423252,4.510094409185981,44.73785626145532,48.11053062715477,0.9866666666666667,5
ours,qm-sym,C3h,0.001,75.0,0.0,75.0,0.0,4.515516831623417,4.528402484388498,44.70394301102299,47.4364724574643,1.0,5
ours,qm-sym,C3h,0.003,75.0,0.0,75.0,0.0,4.51552851481592,4.5281156723904585,44.628650952782834,47.44048595264551,1.0,5
ours,qm-sym,C3h,0.01,75.0,0.0,75.0,0.0,4.515786988477461,4.5273236615625745,44.79903867661086,47.45415165560702,1.0,5
